// PERIODIC TABLE ELEMENT :
// http://www.webelements.com/
// Name	Symbol(Mass_Number)	Atomic_Mass	Natural_Abundance
HYDROGEN   H(1) 1.007825032 99.985 H(2) 2.014101778 0.015 H(3) 3.016049268 0
HELIUM     He(3) 3.016029310 0.000137 He(4) 4.002603250 99.999863
LITHIUM    Li(6) 6.0151223 7.5 Li(7) 7.0160040 92.5
BERYLLIUM  Be(9) 9.0121821 100
BORON      B(10) 10.0129370 19.9 B(11) 11.0093055 80.1
CARBON     C(12) 12 98.90 C(13) 13.003354838 1.10 C(14) 14.003241988 0
NITROGEN   N(14) 14.003074005 99.634 N(15) 15.000108898 0.366
OXYGEN     O(16) 15.994914622 99.762 O(17) 16.9991315 0.038 O(18) 17.9991604 0.200
FLUORINE   F(19) 18.99840321 100
NEON       Ne(20) 19.992440176 90.48 Ne(21) 20.99384674 0.27 Ne(22) 21.9913855 9.25
SODIUM     Na(23) 22.9897697 100
MAGNESIUM  Mg(24) 23.9850419 78.99 Mg(25) 24.9858370 10.00 Mg(26) 25.9825930 11.01
ALUMINIUM  Al(27) 26.9815384 100
SILICON    Si(28) 27.976926533 92.23 Si(29) 28.97649472 4.67 Si(30) 29.97377022 3.10
PHOSPHORUS P(31) 30.9737615 100
SULFUR     S(32) 31.9720707 95.02 S(33) 32.9714585 0.75 S(34) 33.9678668 4.21 S(36) 35.9670809 0.02
CHLORINE   Cl(35) 34.96885271 75.77 Cl(37) 36.96590260 24.23
ARGON      Ar(36) 35.9675463 0.337 Ar(37) 36.9667759 0 Ar(38) 37.9627322 0.063 Ar(39) 38.964313 0 Ar(40) 39.962383123 99.600
POTASSIUM  K(39) 38.9637068 93.2581 K(40) 39.9639987 0.0117 K(41) 40.9618260 6.7302
CALCIUM    Ca(40) 39.9625911 96.941 Ca(42) 41.9586183 0.647 Ca(43) 42.9587668 0.135 Ca(44) 43.9554811 2.086 Ca(46) 45.953693 0.004 Ca(48) 47.952534 0.187
SCANDIUM   Sc(45) 44.955910 100
TITANIUM   Ti(46) 45.952629 8.0 Ti(47) 46.951764 7.3 Ti(48) 47.947947 73.8 Ti(49) 48.947871 5.5 Ti(50) 49.944792 5.4
VANADIUM   V(50) 49.947163 0.250 V(51) 50.943964 99.750
CHROMIUM   Cr(50) 49.946050 4.345 Cr(52) 51.940512 83.789 Cr(53) 52.940654 9.501 Cr(54) 53.938885 2.365
MANGANESE  Mn(55) 54.938050 100
IRON       Fe(54) 53.939615 5.8 Fe(56) 55.934942 91.72 Fe(57) 56.935399 2.1 Fe(58) 57.933280 0.28
COBALT     Co(59) 58.933200 100
